Date,Open,High,Low,Close,Volume
2024-04-08,409.1000061035156,412.5299987792969,407.54998779296875,410.5400085449219,1181900
2024-04-09,411.510009765625,413.2200012207031,407.04998779296875,410.7099914550781,1247200
2024-04-10,404.010009765625,405.45001220703125,397.2900085449219,400.760009765625,1903300
2024-04-11,400.4800109863281,401.4700012207031,394.8399963378906,397.4800109863281,2176200
2024-04-12,392.8399963378906,394.0899963378906,387.1199951171875,389.489990234375,2815800
2024-04-15,407.0,412.8699951171875,398.69000244140625,400.8800048828125,6177000
2024-04-16,404.45001220703125,404.9700012207031,395.17999267578125,396.8599853515625,3459700
2024-04-17,402.3999938964844,407.1199951171875,401.17999267578125,403.9100036621094,4373800
2024-04-18,405.489990234375,407.8599853515625,402.4100036621094,403.1099853515625,2776300
2024-04-19,404.05999755859375,408.0,403.010009765625,404.0,2805500
2024-04-22,406.94000244140625,417.9800109863281,404.57000732421875,417.3500061035156,4165600
2024-04-23,417.7099914550781,425.3500061035156,416.20001220703125,424.0,2662300
2024-04-24,421.5,424.5799865722656,419.6099853515625,423.0400085449219,1575900
2024-04-25,420.989990234375,423.6099853515625,414.8500061035156,420.04998779296875,1970100
2024-04-26,420.2300109863281,428.5299987792969,419.6400146484375,427.57000732421875,2322700
2024-04-29,427.57000732421875,433.3299865722656,427.20001220703125,430.80999755859375,2453000
2024-04-30,428.5,431.3900146484375,426.0,426.7099914550781,1829900
2024-05-01,426.69000244140625,433.42999267578125,425.19000244140625,426.95001220703125,2310100
2024-05-02,431.20001220703125,433.6499938964844,428.1700134277344,432.57000732421875,2087500
2024-05-03,435.0,442.29998779296875,434.9200134277344,438.17999267578125,2406300
2024-05-06,441.75,444.3800048828125,439.67999267578125,443.6700134277344,1914300
2024-05-07,445.1700134277344,447.4200134277344,442.8699951171875,443.79998779296875,2058200
2024-05-08,442.79998779296875,448.0199890136719,442.04998779296875,446.95001220703125,2006700
2024-05-09,446.3399963378906,456.42999267578125,446.3399963378906,455.55999755859375,2710200
2024-05-10,456.5199890136719,458.75,454.32000732421875,454.7300109863281,1823900
2024-05-13,456.2699890136719,457.20001220703125,453.32000732421875,453.55999755859375,1579600
2024-05-14,454.8399963378906,461.7699890136719,454.010009765625,458.4700012207031,2412900
2024-05-15,461.5899963378906,466.19000244140625,460.95001220703125,466.0899963378906,2217700
2024-05-16,464.3699951171875,468.25,462.2799987792969,464.5199890136719,2070300
2024-05-17,466.3800048828125,468.6600036621094,464.25,467.7200012207031,1655900
2024-05-20,468.20001220703125,471.4800109863281,462.6000061035156,462.94000244140625,2591500
2024-05-21,462.2300109863281,471.30999755859375,462.20001220703125,470.4100036621094,2762600
2024-05-22,467.3599853515625,470.3299865722656,459.75,462.3800048828125,2729500
2024-05-23,464.2300109863281,464.30999755859375,457.4100036621094,458.1499938964844,2254500
2024-05-24,459.8399963378906,465.25,459.1000061035156,461.17999267578125,1932200
2024-05-28,459.94000244140625,463.69000244140625,458.9100036621094,459.80999755859375,1930800
2024-05-29,454.8399963378906,458.739990234375,451.6499938964844,457.1700134277344,2315700
2024-05-30,453.0,455.8599853515625,447.6000061035156,450.2300109863281,2135000
2024-05-31,449.760009765625,456.7699890136719,448.1199951171875,456.5199890136719,2638300
2024-06-03,458.8699951171875,458.8699951171875,450.20001220703125,454.9800109863281,1930700
2024-06-04,450.5,457.7099914550781,449.2099914550781,455.29998779296875,1835000
2024-06-05,457.54998779296875,463.0199890136719,457.5,461.67999267578125,1678900
2024-06-06,461.82000732421875,464.5199890136719,457.010009765625,458.1000061035156,1598000
2024-06-07,455.44000244140625,461.1600036621094,454.5,454.9100036621094,1736100
2024-06-10,452.3299865722656,455.3599853515625,450.29998779296875,453.54998779296875,1698600
2024-06-11,451.0400085449219,451.8599853515625,443.3800048828125,444.2699890136719,1938200
2024-06-12,455.6000061035156,457.6400146484375,446.19000244140625,448.70001220703125,1733000
2024-06-13,446.7300109863281,448.32000732421875,442.1499938964844,446.3500061035156,1849100
2024-06-14,441.989990234375,448.2300109863281,439.1499938964844,446.4599914550781,1559100
2024-06-17,445.1000061035156,450.7799987792969,443.3900146484375,450.17999267578125,1531600
2024-06-18,449.57000732421875,457.69000244140625,448.510009765625,457.42999267578125,1798400
2024-06-20,458.0,460.4100036621094,455.239990234375,458.04998779296875,2080600
2024-06-21,458.67999267578125,458.79998779296875,449.8999938964844,450.17999267578125,3780800
2024-06-24,451.25,463.5199890136719,450.0,462.0899963378906,1882200
2024-06-25,459.4599914550781,464.0799865722656,456.75,457.3800048828125,1555900
2024-06-26,455.4100036621094,457.92999267578125,452.45001220703125,455.8599853515625,2131700
2024-06-27,449.7799987792969,449.7799987792969,442.79998779296875,445.9599914550781,2835200
2024-06-28,450.1000061035156,457.3399963378906,449.5299987792969,452.32000732421875,3839700
2024-07-01,454.510009765625,464.0199890136719,454.010009765625,463.6600036621094,1850500
2024-07-02,461.510009765625,466.2699890136719,459.6000061035156,465.6099853515625,1491800
2024-07-03,469.0400085449219,469.8900146484375,465.82000732421875,467.9200134277344,993900
2024-07-05,467.4700012207031,467.5799865722656,460.1300048828125,464.75,1593800
2024-07-08,467.6499938964844,474.8599853515625,464.0400085449219,464.82000732421875,2214300
2024-07-09,465.6000061035156,479.29998779296875,461.5799865722656,472.8299865722656,4525100
2024-07-10,472.510009765625,479.8599853515625,469.8500061035156,478.8900146484375,1946000
2024-07-11,480.0,483.1600036621094,476.2699890136719,479.2300109863281,2251400
2024-07-12,480.92999267578125,483.44000244140625,478.1000061035156,479.8800048828125,2727800
2024-07-15,480.25,493.0,476.30999755859375,492.2300109863281,3568200
2024-07-16,494.0,506.5899963378906,491.989990234375,503.0199890136719,3981700
2024-07-17,503.0,509.4800109863281,499.42999267578125,502.17999267578125,3908900
2024-07-18,499.5199890136719,503.69000244140625,484.2200012207031,486.2099914550781,3320200
2024-07-19,489.1199951171875,492.6000061035156,483.19000244140625,484.92999267578125,2032700
2024-07-22,484.55999755859375,489.4700012207031,482.3800048828125,487.0400085449219,1792500
2024-07-23,487.0799865722656,495.80999755859375,486.2799987792969,492.1499938964844,2020500
2024-07-24,489.260009765625,495.989990234375,485.82000732421875,486.70001220703125,1598600
2024-07-25,486.04998779296875,496.1099853515625,483.2300109863281,491.7099914550781,1489700
2024-07-26,495.7200012207031,504.0,495.6499938964844,499.0299987792969,2249700
2024-07-29,500.4200134277344,502.0,491.05999755859375,492.7200012207031,1599500
2024-07-30,498.30999755859375,509.4700012207031,498.29998779296875,505.6700134277344,2642500
2024-07-31,504.8599853515625,517.260009765625,504.8599853515625,509.0299987792969,2658900
2024-08-01,510.0,514.02001953125,494.67999267578125,500.1199951171875,4006800
2024-08-02,491.1000061035156,494.4599914550781,467.2099914550781,470.6400146484375,6115500
2024-08-05,447.5899963378906,463.17999267578125,437.3699951171875,459.0199890136719,4177200
2024-08-06,461.010009765625,475.25,457.42999267578125,470.2200012207031,2209300
2024-08-07,479.3900146484375,488.54998779296875,472.57000732421875,473.010009765625,2587600
2024-08-08,477.8699951171875,487.7300109863281,477.1600036621094,485.7699890136719,1936400
2024-08-09,485.0199890136719,492.0,482.20001220703125,490.260009765625,1622700
2024-08-12,490.260009765625,492.8699951171875,483.75,485.5,1839300
2024-08-13,490.2900085449219,493.2699890136719,486.4700012207031,491.94000244140625,1243700
2024-08-14,492.8999938964844,499.3500061035156,488.3999938964844,498.70001220703125,1545600
2024-08-15,505.0,506.9100036621094,498.260009765625,499.0199890136719,1732300
2024-08-16,497.04998779296875,504.9100036621094,497.0,504.260009765625,1587000
2024-08-19,505.0,507.7799987792969,501.8599853515625,504.67999267578125,1027900
2024-08-20,503.8699951171875,504.1600036621094,496.5,497.3399963378906,2122700
2024-08-21,499.5,500.7799987792969,494.0299987792969,496.4599914550781,917100
2024-08-22,497.0,499.70001220703125,494.7900085449219,497.75,943800
2024-08-23,502.75,512.4400024414062,499.8500061035156,509.4200134277344,1751800
2024-08-26,512.3400268554688,513.5,505.32000732421875,507.8699951171875,1084200
2024-08-27,507.8399963378906,511.4800109863281,506.5899963378906,507.260009765625,977900
2024-08-28,506.6000061035156,508.3699951171875,498.4700012207031,503.3299865722656,1568100
2024-08-29,506.0,513.239990234375,501.1400146484375,510.1000061035156,1566300
2024-08-30,507.8299865722656,511.19000244140625,505.1700134277344,510.25,1838900
2024-09-03,507.4700012207031,509.70001220703125,485.3999938964844,487.4599914550781,2373600
2024-09-04,486.70001220703125,496.20001220703125,486.70001220703125,490.6400146484375,1509400
2024-09-05,493.5799865722656,495.7699890136719,483.07000732421875,487.8800048828125,1828300
2024-09-06,486.6000061035156,495.4100036621094,477.05999755859375,479.6099853515625,1995600
2024-09-09,485.5299987792969,494.2799987792969,483.3900146484375,488.57000732421875,1714200
2024-09-10,489.1300048828125,489.20001220703125,461.57000732421875,467.1300048828125,3583100
2024-09-11,463.9800109863281,471.8900146484375,457.4800109863281,471.1700134277344,2426500
2024-09-12,471.29998779296875,474.3399963378906,465.3999938964844,474.05999755859375,1480500
2024-09-13,475.989990234375,482.1000061035156,475.5,478.989990234375,1794500
2024-09-16,481.42999267578125,487.3800048828125,479.489990234375,485.1600036621094,1500300
2024-09-17,488.0,489.7300109863281,481.79998779296875,485.3900146484375,1444900
2024-09-18,485.3999938964844,492.989990234375,481.7699890136719,484.5799865722656,1699500
2024-09-19,494.739990234375,506.4100036621094,493.4599914550781,503.8299865722656,3060700
2024-09-20,500.19000244140625,502.04998779296875,495.4800109863281,498.42999267578125,4452600
2024-09-23,498.2099914550781,501.3999938964844,495.2200012207031,497.4100036621094,953200
2024-09-24,497.5899963378906,499.55999755859375,494.1000061035156,498.0199890136719,1035400
2024-09-25,498.5,502.0,490.3999938964844,491.1400146484375,1763900
2024-09-26,494.0,498.3999938964844,492.4800109863281,496.9200134277344,1378100
2024-09-27,498.9700012207031,505.3999938964844,495.8599853515625,498.510009765625,1420100
2024-09-30,494.8900146484375,496.5199890136719,488.8999938964844,495.1099853515625,1602500
2024-10-01,494.5799865722656,494.5799865722656,484.6099853515625,490.1700134277344,1528600
2024-10-02,491.1700134277344,494.8599853515625,487.95001220703125,491.989990234375,1445100
2024-10-03,489.92999267578125,490.510009765625,484.20001220703125,486.1000061035156,1290600
2024-10-04,495.6400146484375,496.30999755859375,486.0,495.1600036621094,1721600
2024-10-07,494.6300048828125,499.010009765625,490.7900085449219,494.6199951171875,1173300
2024-10-08,497.0,498.3399963378906,492.7799987792969,496.57000732421875,1296700
2024-10-09,498.20001220703125,506.2699890136719,495.25,505.17999267578125,1695900
2024-10-10,506.30999755859375,506.79998779296875,499.5899963378906,503.7200012207031,1309000
2024-10-11,508.0,517.969970703125,507.79998779296875,516.2999877929688,2409700
2024-10-14,517.6500244140625,523.0700073242188,515.510009765625,522.75,2174900
